Item,Recipe,Power,Items,Buildings,Resources,Buildings Scaled,Resources Scaled,Bauxite,Nitrogen Gas,SAM,Limestone,Crude Oil,Caterium Ore,Coal,Raw Quartz,Sulfur,Water,Uranium,Copper Ore,Iron Ore
Electromagnetic Control Rod,Alternate: Electromagnetic Connection Rod,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Uranium Fuel Rod,Uranium Fuel Rod,72551.5,82633.5,1059.0,34037.0,1080.2,35109.7,2485.3,1147.9,635.7,992.6,3011.1,897.9,205.4,1112.3,762.4,7779.2,198.3,7014.9,7794.0
Uranium Fuel Rod,Alternate: Uranium Fuel Unit,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Magnetic Field Generator,Magnetic Field Generator,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Heat Sink,Heat Sink,71496.4,81620.8,1048.6,33511.3,1078.0,34176.7,2452.6,1164.5,635.7,894.6,2882.6,864.5,203.2,1134.2,736.1,7798.2,169.2,6905.9,7670.0
Heat Sink,Alternate: Heat Exchanger,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Fused Modular Frame,Fused Modular Frame,71608.5,83602.5,1070.1,33713.9,1080.7,34744.1,2793.1,1067.2,635.7,894.7,2913.5,865.0,203.4,1134.5,736.8,7826.5,169.3,6858.8,7615.4
Fused Modular Frame,Alternate: Heat-Fused Frame,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Packaged Nitrogen Gas,Packaged Nitrogen Gas,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Dissolved Silica,Alternate: Quartz Purification,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Thermal Propulsion Rocket,Thermal Propulsion Rocket,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Screw,Alternate: Steel Screw,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Screw,Alternate: Cast Screw,71653.5,81663.7,1082.6,33638.8,1091.6,34244.0,2397.0,1165.5,635.7,894.8,2939.0,874.4,203.5,1134.6,737.1,7643.6,169.4,6914.1,7930.1
